0.721928 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 0
0.072906 0.072906 0.170951 0.170951  	|	 index -> 1 |	 group -> 4
0.170951 0.321928 0.419973 0.419973  	|	 index -> 2 |	 group -> 4
0.321928 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 4
0.170951 0.321928 0.419973 0.419973  	|	 index -> 1 |	 group -> 4
0.072906 0.072906 0.170951 0.170951  	|	 index -> 2 |	 group -> 4
0.721928 0.170951 0.721928 0.721928  	|	 index -> 0 |	 group -> 4
0.170951 0.019973 0.170951 0.170951  	|	 index -> 1 |	 group -> 4
0.170951 0.019973 0.170951 0.170951  	|	 index -> 2 |	 group -> 4
0.321928 0.419973 0.970951 0.970951  	|	 index -> 0 |	 group -> 4
0.072906 0.321928 0.170951 0.170951  	|	 index -> 1 |	 group -> 4
0.170951 0.019973 0.419973 0.419973  	|	 index -> 2 |	 group -> 4
0.000000 0.419973 0.970951 0.970951  	|	 index -> 0 |	 group -> 4
0.000000 0.019973 0.419973 0.419973  	|	 index -> 1 |	 group -> 4
0.000000 0.321928 0.170951 0.170951  	|	 index -> 2 |	 group -> 4
0.000000 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 5
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 5
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 5
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 5
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 5
0.000000 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 5
0.000000 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 5
0.000000 0.170951 0.419973 0.419973  	|	 index -> 1 |	 group -> 5
0.000000 0.721928 0.170951 0.170951  	|	 index -> 2 |	 group -> 5
0.000000 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 5
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 5
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 5
0.000000 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 5
0.000000 0.072906 0.170951 0.170951  	|	 index -> 1 |	 group -> 5
0.000000 0.321928 0.419973 0.419973  	|	 index -> 2 |	 group -> 5
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 5
0.000000 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 5
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 5
0.721928 0.072906 0.721928 0.721928  	|	 index -> 0 |	 group -> 6
0.170951 0.170951 0.170951 0.170951  	|	 index -> 1 |	 group -> 6
0.170951 0.321928 0.170951 0.170951  	|	 index -> 2 |	 group -> 6
0.321928 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 6
0.072906 0.072906 0.170951 0.170951  	|	 index -> 1 |	 group -> 6
0.170951 0.321928 0.419973 0.419973  	|	 index -> 2 |	 group -> 6
0.000000 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 6
0.000000 0.170951 0.419973 0.419973  	|	 index -> 1 |	 group -> 6
0.000000 0.721928 0.170951 0.170951  	|	 index -> 2 |	 group -> 6
0.000000 0.072906 0.721928 0.721928  	|	 index -> 0 |	 group -> 6
0.000000 0.170951 0.170951 0.170951  	|	 index -> 1 |	 group -> 6
0.000000 0.321928 0.170951 0.170951  	|	 index -> 2 |	 group -> 6
0.321928 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 6
0.072906 0.072906 0.170951 0.170951  	|	 index -> 1 |	 group -> 6
0.170951 0.321928 0.419973 0.419973  	|	 index -> 2 |	 group -> 6
0.321928 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 6
0.170951 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 6
0.072906 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 6
0.000000 0.000000 0.721928 0.321928  	|	 index -> 0 |	 group -> 7
0.000000 0.000000 0.170951 0.019973  	|	 index -> 1 |	 group -> 7
0.000000 0.000000 0.170951 0.419973  	|	 index -> 2 |	 group -> 7
0.000000 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 7
0.000000 0.721928 0.170951 0.170951  	|	 index -> 1 |	 group -> 7
0.000000 0.170951 0.419973 0.419973  	|	 index -> 2 |	 group -> 7
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 7
0.000000 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 7
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 7
0.000000 0.000000 0.721928 0.170951  	|	 index -> 0 |	 group -> 7
0.000000 0.000000 0.170951 0.419973  	|	 index -> 1 |	 group -> 7
0.000000 0.000000 0.170951 0.970951  	|	 index -> 2 |	 group -> 7
0.000000 0.170951 0.970951 0.419973  	|	 index -> 0 |	 group -> 7
0.000000 0.721928 0.170951 0.170951  	|	 index -> 1 |	 group -> 7
0.000000 0.170951 0.419973 0.970951  	|	 index -> 2 |	 group -> 7
0.000000 0.419973 0.970951 0.970951  	|	 index -> 0 |	 group -> 7
0.000000 0.970951 0.419973 0.419973  	|	 index -> 1 |	 group -> 7
0.000000 0.170951 0.170951 0.170951  	|	 index -> 2 |	 group -> 7
0.721928 0.000000 0.321928 0.321928  	|	 index -> 0 |	 group -> 8
0.170951 0.000000 0.019973 0.019973  	|	 index -> 1 |	 group -> 8
0.170951 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 8
0.970951 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 8
0.170951 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 8
0.419973 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 8
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 8
0.000000 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 8
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 8
0.721928 0.000000 0.321928 0.321928  	|	 index -> 0 |	 group -> 8
0.170951 0.000000 0.019973 0.019973  	|	 index -> 1 |	 group -> 8
0.170951 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 8
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 8
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 8
0.000000 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 8
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 8
0.000000 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 8
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 8
0.721928 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 9
0.170951 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 9
0.170951 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 9
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 9
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 9
0.000000 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 9
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 9
0.000000 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 9
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 9
0.721928 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 9
0.170951 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 9
0.170951 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 9
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 9
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 9
0.000000 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 9
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 9
0.000000 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 9
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 9
0.721928 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 10
0.170951 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 10
0.170951 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 10
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 10
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 10
0.000000 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 10
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 10
0.000000 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 10
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 10
0.721928 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 10
0.170951 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 10
0.170951 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 10
0.321928 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 10
0.072906 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 10
0.170951 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 10
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 10
0.000000 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 10
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 10
0.721928 0.072906 0.721928 0.321928  	|	 index -> 0 |	 group -> 11
0.170951 0.321928 0.170951 0.019973  	|	 index -> 1 |	 group -> 11
0.170951 0.170951 0.170951 0.419973  	|	 index -> 2 |	 group -> 11
0.321928 0.170951 0.970951 0.419973  	|	 index -> 0 |	 group -> 11
0.072906 0.721928 0.170951 0.170951  	|	 index -> 1 |	 group -> 11
0.170951 0.170951 0.419973 0.970951  	|	 index -> 2 |	 group -> 11
0.321928 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 11
0.170951 0.321928 0.419973 0.419973  	|	 index -> 1 |	 group -> 11
0.072906 0.072906 0.170951 0.170951  	|	 index -> 2 |	 group -> 11
0.000000 0.072906 0.721928 0.321928  	|	 index -> 0 |	 group -> 11
0.000000 0.321928 0.170951 0.019973  	|	 index -> 1 |	 group -> 11
0.000000 0.170951 0.170951 0.419973  	|	 index -> 2 |	 group -> 11
0.321928 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 11
0.072906 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 11
0.170951 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 11
0.321928 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 11
0.170951 0.321928 0.419973 0.419973  	|	 index -> 1 |	 group -> 11
0.072906 0.072906 0.170951 0.170951  	|	 index -> 2 |	 group -> 11
0.000000 0.072906 0.721928 0.321928  	|	 index -> 0 |	 group -> 12
0.000000 0.321928 0.170951 0.019973  	|	 index -> 1 |	 group -> 12
0.000000 0.170951 0.170951 0.419973  	|	 index -> 2 |	 group -> 12
0.000000 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 12
0.000000 0.721928 0.170951 0.170951  	|	 index -> 1 |	 group -> 12
0.000000 0.170951 0.419973 0.419973  	|	 index -> 2 |	 group -> 12
0.000000 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 12
0.000000 0.321928 0.419973 0.419973  	|	 index -> 1 |	 group -> 12
0.000000 0.072906 0.170951 0.170951  	|	 index -> 2 |	 group -> 12
0.000000 0.072906 0.721928 0.321928  	|	 index -> 0 |	 group -> 12
0.000000 0.321928 0.170951 0.019973  	|	 index -> 1 |	 group -> 12
0.000000 0.170951 0.170951 0.419973  	|	 index -> 2 |	 group -> 12
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 12
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 12
0.000000 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 12
0.000000 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 12
0.000000 0.321928 0.419973 0.419973  	|	 index -> 1 |	 group -> 12
0.000000 0.072906 0.170951 0.170951  	|	 index -> 2 |	 group -> 12
0.721928 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 13
0.170951 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 13
0.170951 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 13
0.970951 0.321928 0.970951 0.970951  	|	 index -> 0 |	 group -> 13
0.170951 0.072906 0.170951 0.170951  	|	 index -> 1 |	 group -> 13
0.419973 0.170951 0.419973 0.419973  	|	 index -> 2 |	 group -> 13
0.970951 0.321928 0.970951 0.970951  	|	 index -> 0 |	 group -> 13
0.419973 0.170951 0.419973 0.419973  	|	 index -> 1 |	 group -> 13
0.170951 0.072906 0.170951 0.170951  	|	 index -> 2 |	 group -> 13
0.721928 0.721928 0.721928 0.721928  	|	 index -> 0 |	 group -> 13
0.170951 0.170951 0.170951 0.170951  	|	 index -> 1 |	 group -> 13
0.170951 0.170951 0.170951 0.170951  	|	 index -> 2 |	 group -> 13
0.970951 0.321928 0.970951 0.970951  	|	 index -> 0 |	 group -> 13
0.170951 0.072906 0.170951 0.170951  	|	 index -> 1 |	 group -> 13
0.419973 0.170951 0.419973 0.419973  	|	 index -> 2 |	 group -> 13
0.970951 0.321928 0.970951 0.970951  	|	 index -> 0 |	 group -> 13
0.419973 0.170951 0.419973 0.419973  	|	 index -> 1 |	 group -> 13
0.170951 0.072906 0.170951 0.170951  	|	 index -> 2 |	 group -> 13
0.072906 0.072906 0.321928 0.321928  	|	 index -> 0 |	 group -> 14
0.321928 0.321928 0.019973 0.019973  	|	 index -> 1 |	 group -> 14
0.170951 0.170951 0.419973 0.419973  	|	 index -> 2 |	 group -> 14
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 14
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 14
0.000000 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 14
0.000000 0.170951 0.970951 0.419973  	|	 index -> 0 |	 group -> 14
0.000000 0.321928 0.419973 0.019973  	|	 index -> 1 |	 group -> 14
0.000000 0.072906 0.170951 0.321928  	|	 index -> 2 |	 group -> 14
0.072906 0.072906 0.321928 0.321928  	|	 index -> 0 |	 group -> 14
0.321928 0.321928 0.019973 0.019973  	|	 index -> 1 |	 group -> 14
0.170951 0.170951 0.419973 0.419973  	|	 index -> 2 |	 group -> 14
0.000000 0.170951 0.970951 0.419973  	|	 index -> 0 |	 group -> 14
0.000000 0.721928 0.170951 0.170951  	|	 index -> 1 |	 group -> 14
0.000000 0.170951 0.419973 0.970951  	|	 index -> 2 |	 group -> 14
0.000000 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 14
0.000000 0.321928 0.419973 0.419973  	|	 index -> 1 |	 group -> 14
0.000000 0.072906 0.170951 0.170951  	|	 index -> 2 |	 group -> 14
0.000000 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 15
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 15
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 15
0.321928 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 15
0.072906 0.072906 0.170951 0.170951  	|	 index -> 1 |	 group -> 15
0.170951 0.321928 0.419973 0.419973  	|	 index -> 2 |	 group -> 15
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 15
0.000000 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 15
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 15
0.721928 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 15
0.170951 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 15
0.170951 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 15
0.000000 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 15
0.000000 0.072906 0.170951 0.170951  	|	 index -> 1 |	 group -> 15
0.000000 0.321928 0.419973 0.419973  	|	 index -> 2 |	 group -> 15
0.321928 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 15
0.170951 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 15
0.072906 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 15
0.000000 0.072906 0.721928 0.721928  	|	 index -> 0 |	 group -> 16
0.000000 0.321928 0.170951 0.170951  	|	 index -> 1 |	 group -> 16
0.000000 0.170951 0.170951 0.170951  	|	 index -> 2 |	 group -> 16
0.321928 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 16
0.072906 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 16
0.170951 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 16
0.321928 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 16
0.170951 0.321928 0.419973 0.419973  	|	 index -> 1 |	 group -> 16
0.072906 0.072906 0.170951 0.170951  	|	 index -> 2 |	 group -> 16
0.721928 0.072906 0.721928 0.721928  	|	 index -> 0 |	 group -> 16
0.170951 0.321928 0.170951 0.170951  	|	 index -> 1 |	 group -> 16
0.170951 0.170951 0.170951 0.170951  	|	 index -> 2 |	 group -> 16
0.321928 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 16
0.072906 0.721928 0.170951 0.170951  	|	 index -> 1 |	 group -> 16
0.170951 0.170951 0.419973 0.419973  	|	 index -> 2 |	 group -> 16
0.321928 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 16
0.170951 0.321928 0.419973 0.419973  	|	 index -> 1 |	 group -> 16
0.072906 0.072906 0.170951 0.170951  	|	 index -> 2 |	 group -> 16
0.000000 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 17
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 17
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 17
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 17
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 17
0.000000 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 17
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 17
0.000000 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 17
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 17
0.000000 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 17
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 17
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 17
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 17
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 17
0.000000 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 17
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 17
0.000000 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 17
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 17
0.721928 0.072906 0.721928 0.721928  	|	 index -> 0 |	 group -> 18
0.170951 0.321928 0.170951 0.170951  	|	 index -> 1 |	 group -> 18
0.170951 0.170951 0.170951 0.170951  	|	 index -> 2 |	 group -> 18
0.321928 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 18
0.072906 0.721928 0.170951 0.170951  	|	 index -> 1 |	 group -> 18
0.170951 0.170951 0.419973 0.419973  	|	 index -> 2 |	 group -> 18
0.321928 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 18
0.170951 0.321928 0.419973 0.419973  	|	 index -> 1 |	 group -> 18
0.072906 0.072906 0.170951 0.170951  	|	 index -> 2 |	 group -> 18
0.000000 0.072906 0.721928 0.721928  	|	 index -> 0 |	 group -> 18
0.000000 0.321928 0.170951 0.170951  	|	 index -> 1 |	 group -> 18
0.000000 0.170951 0.170951 0.170951  	|	 index -> 2 |	 group -> 18
0.321928 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 18
0.072906 0.721928 0.170951 0.170951  	|	 index -> 1 |	 group -> 18
0.170951 0.170951 0.419973 0.419973  	|	 index -> 2 |	 group -> 18
0.321928 0.419973 0.970951 0.970951  	|	 index -> 0 |	 group -> 18
0.170951 0.970951 0.419973 0.419973  	|	 index -> 1 |	 group -> 18
0.072906 0.170951 0.170951 0.170951  	|	 index -> 2 |	 group -> 18
0.000000 0.000000 0.721928 0.321928  	|	 index -> 0 |	 group -> 19
0.000000 0.000000 0.170951 0.019973  	|	 index -> 1 |	 group -> 19
0.000000 0.000000 0.170951 0.419973  	|	 index -> 2 |	 group -> 19
0.321928 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 19
0.072906 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 19
0.170951 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 19
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 19
0.000000 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 19
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 19
0.721928 0.000000 0.721928 0.321928  	|	 index -> 0 |	 group -> 19
0.170951 0.000000 0.170951 0.019973  	|	 index -> 1 |	 group -> 19
0.170951 0.000000 0.170951 0.419973  	|	 index -> 2 |	 group -> 19
0.321928 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 19
0.072906 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 19
0.170951 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 19
