group => 1 	    - 5.10 | 3.50 | 1.40 | 0.20 | Iris-setosa    	 => 0 | 17.85 | 0.28    |	 0 1 0 0
group => 8 	    - 5.50 | 2.40 | 3.80 | 1.10 | Iris-versicolor	 => 1 | 13.20 | 4.18	|	 0 0 1 0
group => 8 	    - 5.60 | 2.80 | 4.90 | 2.00 | Iris-virginica	 => 2 | 15.68 | 9.80	|	 1 0 1 1
group => 9 	    - 5.00 | 3.00 | 1.60 | 0.20 | Iris-setosa    	 => 0 | 15.00 | 0.32	|	 0 1 0 0
group => 9 	    - 5.70 | 2.60 | 3.50 | 1.00 | Iris-versicolor	 => 1 | 14.82 | 3.50	|	 0 0 0 0
group => 9 	    - 7.70 | 2.80 | 6.70 | 2.00 | Iris-virginica	 => 2 | 21.56 | 13.40	|	 1 0 1 1
group => 9 	    - 5.00 | 3.40 | 1.60 | 0.40 | Iris-setosa    	 => 0 | 17.00 | 0.64	|	 0 1 0 0
group => 9 	    - 6.00 | 2.90 | 4.50 | 1.50 | Iris-versicolor	 => 1 | 17.40 | 6.75	|	 1 0 1 1
group => 9 	    - 6.30 | 2.70 | 4.90 | 1.80 | Iris-virginica	 => 2 | 17.01 | 8.82	|	 1 0 1 1
group => 10 	- 5.20 | 3.50 | 1.50 | 0.20 | Iris-setosa    	 => 0 | 18.20 | 0.30	|	 0 1 0 0
group => 10 	- 6.70 | 3.00 | 5.00 | 1.70 | Iris-versicolor	 => 1 | 20.10 | 8.50	|	 1 0 1 1
group => 10 	- 6.70 | 3.30 | 5.70 | 2.10 | Iris-virginica	 => 2 | 22.11 | 11.97	|	 1 1 1 1
group => 10 	- 5.20 | 3.40 | 1.40 | 0.20 | Iris-setosa    	 => 0 | 17.68 | 0.28	|	 0 1 0 0
group => 10 	- 5.60 | 3.00 | 4.50 | 1.50 | Iris-versicolor	 => 1 | 16.80 | 6.75	|	 0 0 1 1
group => 10 	- 7.20 | 3.20 | 6.00 | 1.80 | Iris-virginica	 => 2 | 23.04 | 10.80	|	 1 0 1 1
group => 11 	- 4.70 | 3.20 | 1.60 | 0.20 | Iris-setosa    	 => 0 | 15.04 | 0.32	|	 0 1 0 0
group => 11 	- 6.70 | 3.10 | 4.40 | 1.40 | Iris-versicolor	 => 1 | 20.77 | 6.16	|	 1 1 1 1
group => 11 	- 6.20 | 2.80 | 4.80 | 1.80 | Iris-virginica	 => 2 | 17.36 | 8.64	|	 1 0 1 1
group => 11 	- 4.80 | 3.10 | 1.60 | 0.20 | Iris-setosa    	 => 0 | 14.88 | 0.32	|	 0 1 0 0
group => 11 	- 5.60 | 2.90 | 3.60 | 1.30 | Iris-versicolor	 => 1 | 16.24 | 4.68	|	 0 0 0 1
group => 11 	- 6.10 | 2.60 | 5.60 | 1.40 | Iris-virginica	 => 2 | 15.86 | 7.84	|	 1 0 1 1
group => 12 	- 5.40 | 3.40 | 1.50 | 0.40 | Iris-setosa    	 => 0 | 18.36 | 0.60	|	 0 1 0 0
group => 12 	- 6.10 | 2.90 | 4.70 | 1.40 | Iris-versicolor	 => 1 | 17.69 | 6.58	|	 1 0 1 1
group => 12 	- 7.70 | 3.00 | 6.10 | 2.30 | Iris-virginica	 => 2 | 23.10 | 14.03	|	 1 1 1 1
group => 12 	- 4.40 | 3.00 | 1.30 | 0.20 | Iris-setosa    	 => 0 | 13.20 | 0.26	|	 0 1 0 0
group => 12 	- 6.00 | 2.20 | 4.00 | 1.00 | Iris-versicolor	 => 1 | 13.20 | 4.00	|	 1 0 1 0
group => 12 	- 6.30 | 3.40 | 5.60 | 2.40 | Iris-virginica	 => 2 | 21.42 | 13.44	|	 1 1 1 1
group => 13 	- 5.10 | 3.40 | 1.50 | 0.20 | Iris-setosa    	 => 0 | 17.34 | 0.30	|	 0 1 0 0
group => 13 	- 5.90 | 3.00 | 4.20 | 1.50 | Iris-versicolor	 => 1 | 17.70 | 6.30	|	 1 0 1 1
group => 13 	- 6.40 | 3.10 | 5.50 | 1.80 | Iris-virginica	 => 2 | 19.84 | 9.90	|	 1 1 1 1
group => 13 	- 5.00 | 3.50 | 1.30 | 0.30 | Iris-setosa    	 => 0 | 17.50 | 0.39	|	 0 1 0 0
group => 13 	- 5.00 | 2.00 | 3.50 | 1.00 | Iris-versicolor	 => 1 | 10.00 | 3.50	|	 0 0 1 0
group => 13 	- 6.00 | 3.00 | 4.80 | 1.80 | Iris-virginica	 => 2 | 18.00 | 8.64	|	 1 0 1 1
group => 14 	- 4.50 | 2.30 | 1.30 | 0.30 | Iris-setosa    	 => 0 | 10.35 | 0.39	|	 0 0 0 0
group => 14 	- 5.20 | 2.70 | 3.90 | 1.40 | Iris-versicolor	 => 1 | 14.04 | 5.46	|	 0 0 1 1
group => 14 	- 6.90 | 3.10 | 5.40 | 2.10 | Iris-virginica	 => 2 | 21.39 | 11.34	|	 1 1 1 1
group => 14 	- 4.40 | 3.20 | 1.30 | 0.20 | Iris-setosa    	 => 0 | 14.08 | 0.26	|	 0 1 0 0
group => 14 	- 6.60 | 2.90 | 4.60 | 1.30 | Iris-versicolor	 => 1 | 19.14 | 5.98	|	 1 1 1 1
group => 14 	- 6.70 | 3.10 | 5.60 | 2.40 | Iris-virginica	 => 2 | 20.77 | 13.44	|	 1 1 1 1
group => 15 	- 5.00 | 3.50 | 1.60 | 0.60 | Iris-setosa    	 => 0 | 17.50 | 0.96	|	 0 1 0 0
group => 15 	- 4.90 | 2.40 | 3.30 | 1.00 | Iris-versicolor	 => 1 | 11.76 | 3.30	|	 0 0 0 0
group => 15 	- 6.80 | 3.20 | 5.90 | 2.30 | Iris-virginica	 => 2 | 21.76 | 13.57	|	 1 0 1 1
group => 15 	- 5.10 | 3.80 | 1.90 | 0.40 | Iris-setosa    	 => 0 | 19.38 | 0.76	|	 0 1 0 0
group => 15 	- 6.30 | 3.30 | 4.70 | 1.60 | Iris-versicolor	 => 1 | 20.79 | 7.52	|	 1 1 1 1
group => 15 	- 6.70 | 3.30 | 5.70 | 2.50 | Iris-virginica	 => 2 | 22.11 | 14.25	|	 1 1 1 1
group => 16 	- 4.80 | 3.00 | 1.40 | 0.30 | Iris-setosa    	 => 0 | 14.40 | 0.42	|	 0 1 0 0
group => 16 	- 5.70 | 2.80 | 4.50 | 1.30 | Iris-versicolor	 => 1 | 15.96 | 5.85	|	 0 0 1 1
group => 16 	- 6.70 | 3.00 | 5.20 | 2.30 | Iris-virginica	 => 2 | 20.10 | 11.96	|	 1 1 1 1
group => 16 	- 5.10 | 3.80 | 1.60 | 0.20 | Iris-setosa    	 => 0 | 19.38 | 0.32	|	 0 1 0 0
group => 16 	- 6.50 | 2.80 | 4.60 | 1.50 | Iris-versicolor	 => 1 | 18.20 | 6.90	|	 1 0 1 1
group => 16 	- 6.30 | 2.50 | 5.00 | 1.90 | Iris-virginica	 => 2 | 15.75 | 9.50	|	 1 0 1 1
group => 17 	- 4.60 | 3.20 | 1.40 | 0.20 | Iris-setosa    	 => 0 | 14.72 | 0.28	|	 0 1 0 0
group => 17 	- 5.50 | 2.30 | 4.00 | 1.30 | Iris-versicolor	 => 1 | 12.65 | 5.20	|	 0 0 1 1
group => 17 	- 6.50 | 3.00 | 5.20 | 2.00 | Iris-virginica	 => 2 | 19.50 | 10.40	|	 1 0 1 1
group => 17 	- 5.30 | 3.70 | 1.50 | 0.20 | Iris-setosa    	 => 0 | 19.61 | 0.30	|	 0 1 0 0
group => 17 	- 6.90 | 3.10 | 4.90 | 1.50 | Iris-versicolor	 => 1 | 21.39 | 7.35	|	 1 0 1 1
group => 17 	- 6.20 | 3.40 | 5.40 | 2.30 | Iris-virginica	 => 2 | 21.08 | 12.42	|	 1 1 1 1
group => 18 	- 5.00 | 3.30 | 1.40 | 0.20 | Iris-setosa    	 => 0 | 16.50 | 0.28	|	 0 1 0 0
group => 18 	- 6.40 | 3.20 | 4.50 | 1.50 | Iris-versicolor	 => 1 | 20.48 | 6.75	|	 1 0 1 1
group => 18 	- 5.90 | 3.00 | 5.10 | 1.80 | Iris-virginica	 => 2 | 17.70 | 9.18	|	 1 0 1 1
group => 18 	- 5.20 | 4.10 | 1.50 | 0.10 | Iris-setosa    	 => 0 | 21.32 | 0.15	|	 0 1 0 0
group => 18 	- 6.10 | 2.80 | 4.00 | 1.30 | Iris-versicolor	 => 1 | 17.08 | 5.20	|	 1 0 1 1
group => 18 	- 6.10 | 3.00 | 4.90 | 1.80 | Iris-virginica	 => 2 | 18.30 | 8.82	|	 1 0 1 1
group => 19 	- 5.50 | 4.20 | 1.40 | 0.20 | Iris-setosa    	 => 0 | 23.10 | 0.28	|	 0 1 0 0
group => 19 	- 5.60 | 2.50 | 3.90 | 1.10 | Iris-versicolor	 => 1 | 14.00 | 4.29	|	 0 0 1 1
group => 19 	- 7.20 | 3.00 | 5.80 | 1.60 | Iris-virginica	 => 2 | 21.60 | 9.28	|	 1 1 1 1
group => 19 	- 4.90 | 3.10 | 1.50 | 0.10 | Iris-setosa    	 => 0 | 15.19 | 0.15	|	 0 1 0 0
group => 19 	- 6.20 | 2.20 | 4.50 | 1.50 | Iris-versicolor	 => 1 | 13.64 | 6.75	|	 1 0 1 1
group => 19 	- 7.40 | 2.80 | 6.10 | 1.90 | Iris-virginica	 => 2 | 20.72 | 11.59	|	 1 0 1 1
group => 20 	- 5.00 | 3.20 | 1.20 | 0.20 | Iris-setosa    	 => 0 | 16.00 | 0.24	|	 0 1 0 0
group => 20 	- 5.80 | 2.70 | 4.10 | 1.00 | Iris-versicolor	 => 1 | 15.66 | 4.10	|	 0 0 1 0
group => 20 	- 7.90 | 3.80 | 6.40 | 2.00 | Iris-virginica	 => 2 | 30.02 | 12.80	|	 1 1 1 1
group => 20 	- 5.50 | 3.50 | 1.30 | 0.20 | Iris-setosa    	 => 0 | 19.25 | 0.26	|	 0 1 0 0
group => 20 	- 6.20 | 2.90 | 4.30 | 1.30 | Iris-versicolor	 => 1 | 17.98 | 5.59	|	 1 0 1 1
group => 20 	- 6.40 | 2.80 | 5.60 | 2.20 | Iris-virginica	 => 2 | 17.92 | 12.32	|	 1 0 1 1
group => 21 	- 4.90 | 3.10 | 1.50 | 0.10 | Iris-setosa    	 => 0 | 15.19 | 0.15	|	 0 1 0 0
group => 21 	- 5.70 | 2.90 | 4.20 | 1.30 | Iris-versicolor	 => 1 | 16.53 | 5.46	|	 1 1 1 1
group => 21 	- 6.30 | 2.80 | 5.10 | 1.50 | Iris-virginica	 => 2 | 17.64 | 7.65	|	 1 0 1 1
group => 21 	- 4.40 | 2.90 | 1.40 | 0.20 | Iris-setosa    	 => 0 | 12.76 | 0.28	|	 0 1 0 0
group => 21 	- 5.70 | 3.00 | 4.20 | 1.20 | Iris-versicolor	 => 1 | 17.10 | 5.04	|	 1 1 1 1
group => 21 	- 5.70 | 2.50 | 5.00 | 2.00 | Iris-virginica	 => 2 | 14.25 | 10.00	|	 1 0 1 1
group => 22 	- 4.90 | 3.10 | 1.50 | 0.10 | Iris-setosa    	 => 0 | 15.19 | 0.15	|	 0 1 0 0
group => 22 	- 5.60 | 2.70 | 4.20 | 1.30 | Iris-versicolor	 => 1 | 15.12 | 5.46	|	 1 0 1 1
group => 22 	- 5.80 | 2.80 | 5.10 | 2.40 | Iris-virginica	 => 2 | 16.24 | 12.24	|	 1 0 1 1
group => 22 	- 5.40 | 3.70 | 1.50 | 0.20 | Iris-setosa    	 => 0 | 19.98 | 0.30	|	 0 1 0 0
group => 22 	- 5.00 | 2.30 | 3.30 | 1.00 | Iris-versicolor	 => 1 | 11.50 | 3.30	|	 0 0 0 0
group => 22 	- 6.40 | 3.20 | 5.30 | 2.30 | Iris-virginica	 => 2 | 20.48 | 12.19	|	 1 1 1 1
group => 23 	- 4.80 | 3.40 | 1.60 | 0.20 | Iris-setosa    	 => 0 | 16.32 | 0.32	|	 0 1 0 0
group => 23 	- 6.80 | 2.80 | 4.80 | 1.40 | Iris-versicolor	 => 1 | 19.04 | 6.72	|	 1 0 1 1
group => 23 	- 6.50 | 3.00 | 5.50 | 1.80 | Iris-virginica	 => 2 | 19.50 | 9.90	|	 1 0 1 1
group => 23 	- 4.80 | 3.00 | 1.40 | 0.10 | Iris-setosa    	 => 0 | 14.40 | 0.14	|	 0 0 0 0
group => 23 	- 6.60 | 3.00 | 4.40 | 1.40 | Iris-versicolor	 => 1 | 19.80 | 6.16	|	 1 0 1 1
group => 23 	- 7.70 | 3.80 | 6.70 | 2.20 | Iris-virginica	 => 2 | 29.26 | 14.74	|	 1 1 1 1
group => 24 	- 4.30 | 3.00 | 1.10 | 0.10 | Iris-setosa    	 => 0 | 12.90 | 0.11	|	 0 0 0 0
group => 24 	- 6.40 | 2.90 | 4.30 | 1.30 | Iris-versicolor	 => 1 | 18.56 | 5.59	|	 1 0 1 1
group => 24 	- 7.70 | 2.60 | 6.90 | 2.30 | Iris-virginica	 => 2 | 20.02 | 15.87	|	 1 0 1 1
group => 24 	- 5.80 | 4.00 | 1.20 | 0.20 | Iris-setosa    	 => 0 | 23.20 | 0.24	|	 0 1 0 0
group => 24 	- 6.10 | 2.80 | 4.70 | 1.20 | Iris-versicolor	 => 1 | 17.08 | 5.64	|	 0 0 1 0
group => 24 	- 6.90 | 3.10 | 5.10 | 2.30 | Iris-virginica	 => 2 | 21.39 | 11.73	|	 1 1 1 1
group => 25 	- 5.70 | 4.40 | 1.50 | 0.40 | Iris-setosa    	 => 0 | 25.08 | 0.60	|	 0 1 0 0
group => 25 	- 5.90 | 3.20 | 4.80 | 1.80 | Iris-versicolor	 => 1 | 18.88 | 8.64	|	 0 0 1 1
group => 25 	- 6.40 | 2.80 | 5.60 | 2.10 | Iris-virginica	 => 2 | 17.92 | 11.76	|	 1 0 1 1
group => 25 	- 5.40 | 3.90 | 1.30 | 0.40 | Iris-setosa    	 => 0 | 21.06 | 0.52	|	 0 1 0 0
group => 25 	- 6.30 | 2.50 | 4.90 | 1.50 | Iris-versicolor	 => 1 | 15.75 | 7.35	|	 1 0 1 1
group => 25 	- 5.80 | 2.70 | 5.10 | 1.90 | Iris-virginica	 => 2 | 15.66 | 9.69	|	 0 0 1 1
