Group -> 0 	| 0.721928 -> 1 | index -> 0 | features chosen -> 0 | 1 1 0 0 
Group -> 1 	| 0.970951 -> 0 | index -> 0 | features chosen -> 0 | 0 1 0 0 
Group -> 1 	| 0.419973 -> 1 | index -> 1 | features chosen -> 0 | 1 1 0 1 
Group -> 1 	| 0.170951 -> 1 | index -> 2 | features chosen -> 0 | 1 1 1 1 
Group -> 1 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 1 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 1 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 1 	| 0.721928 -> 0 | index -> 0 | features chosen -> 0 | 0 1 0 0 
Group -> 1 	| 0.419973 -> 1 | index -> 1 | features chosen -> 0 | 1 1 0 1 
Group -> 1 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 1 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 1 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 1 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 1 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 1 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 1 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 2 	| 0.721928 -> 0 | index -> 0 | features chosen -> 2 | 0 1 0 0 
Group -> 2 	| 0.170951 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 2 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 2 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 0 1 0 0 
Group -> 2 	| 0.721928 -> 1 | index -> 1 | features chosen -> 1 | 1 1 1 1 
Group -> 2 	| 0.419973 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 2 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 2 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 2 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 2 	| 0.721928 -> 0 | index -> 0 | features chosen -> 0 | 0 1 0 0 
Group -> 2 	| 0.170951 -> 1 | index -> 1 | features chosen -> 0 | 1 1 1 1 
Group -> 2 	| 0.170951 -> 1 | index -> 2 | features chosen -> 0 | 1 1 1 1 
Group -> 2 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 0 1 0 0 
Group -> 2 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 2 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 2 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 2 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 2 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 3 	| 0.721928 -> 0 | index -> 0 | features chosen -> 2 | 0 1 0 0 
Group -> 3 	| 0.170951 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 3 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 3 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 3 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 0 1 1 
Group -> 3 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 0 1 1 
Group -> 3 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 0 1 0 0 
Group -> 3 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 0 1 1 
Group -> 3 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 0 1 1 
Group -> 3 	| 0.721928 -> 0 | index -> 0 | features chosen -> 0 | 0 1 0 0 
Group -> 3 	| 0.170951 -> 1 | index -> 1 | features chosen -> 0 | 1 1 1 1 
Group -> 3 	| 0.170951 -> 1 | index -> 2 | features chosen -> 0 | 1 1 1 1 
Group -> 3 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 3 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 3 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 3 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 3 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 3 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 4 	| 0.721928 -> 0 | index -> 0 | features chosen -> 2 | 0 1 0 0 
Group -> 4 	| 0.170951 -> 1 | index -> 1 | features chosen -> 2 | 1 0 1 1 
Group -> 4 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 0 1 1 
Group -> 4 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 0 1 0 0 
Group -> 4 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 0 1 1 
Group -> 4 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 0 1 1 
Group -> 4 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 0 1 0 0 
Group -> 4 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 0 1 1 
Group -> 4 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 0 1 1 
Group -> 4 	| 0.721928 -> 0 | index -> 0 | features chosen -> 0 | 0 1 0 0 
Group -> 4 	| 0.170951 -> 1 | index -> 1 | features chosen -> 0 | 1 0 1 1 
Group -> 4 	| 0.170951 -> 1 | index -> 2 | features chosen -> 0 | 1 0 1 1 
Group -> 4 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 0 1 0 0 
Group -> 4 	| 0.419973 -> 1 | index -> 1 | features chosen -> 1 | 1 0 1 1 
Group -> 4 	| 0.321928 -> 0 | index -> 2 | features chosen -> 2 | 1 0 1 1 
Group -> 4 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 4 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 0 1 1 
Group -> 4 	| 0.321928 -> 0 | index -> 2 | features chosen -> 1 | 1 0 1 1 
Group -> 5 	| 0.721928 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 5 	| 0.170951 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 5 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 5 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 5 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 5 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 5 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 5 	| 0.721928 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 5 	| 0.419973 -> 1 | index -> 2 | features chosen -> 1 | 1 1 1 1 
Group -> 5 	| 0.721928 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 5 	| 0.170951 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 5 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 5 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 5 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 5 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 5 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 5 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 5 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 6 	| 0.721928 -> 1 | index -> 0 | features chosen -> 0 | 1 1 0 0 
Group -> 6 	| 0.321928 -> 1 | index -> 1 | features chosen -> 0 | 1 1 1 1 
Group -> 6 	| 0.170951 -> 1 | index -> 2 | features chosen -> 1 | 1 1 1 1 
Group -> 6 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 6 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 6 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 6 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 6 	| 0.721928 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 6 	| 0.419973 -> 1 | index -> 2 | features chosen -> 1 | 1 1 1 1 
Group -> 6 	| 0.721928 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 6 	| 0.321928 -> 1 | index -> 1 | features chosen -> 1 | 1 1 1 1 
Group -> 6 	| 0.170951 -> 1 | index -> 2 | features chosen -> 1 | 1 1 1 1 
Group -> 6 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 6 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 6 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 6 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 6 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 6 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 7 	| 0.721928 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 7 	| 0.170951 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 0 
Group -> 7 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 7 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 7 	| 0.721928 -> 0 | index -> 1 | features chosen -> 1 | 1 0 1 0 
Group -> 7 	| 0.419973 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 7 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 7 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 7 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 7 	| 0.721928 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 7 	| 0.170951 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 0 
Group -> 7 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 7 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 7 	| 0.721928 -> 0 | index -> 1 | features chosen -> 1 | 1 0 1 0 
Group -> 7 	| 0.419973 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 7 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 7 	| 0.970951 -> 0 | index -> 1 | features chosen -> 1 | 1 0 1 1 
Group -> 7 	| 0.170951 -> 1 | index -> 2 | features chosen -> 1 | 1 1 1 1 
Group -> 8 	| 0.721928 -> 0 | index -> 0 | features chosen -> 0 | 0 1 0 0 
Group -> 8 	| 0.419973 -> 1 | index -> 1 | features chosen -> 0 | 1 1 0 0 
Group -> 8 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 8 	| 0.970951 -> 0 | index -> 0 | features chosen -> 0 | 0 1 0 0 
Group -> 8 	| 0.419973 -> 1 | index -> 1 | features chosen -> 0 | 1 1 1 1 
Group -> 8 	| 0.170951 -> 1 | index -> 2 | features chosen -> 0 | 1 1 1 1 
Group -> 8 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 8 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 8 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 8 	| 0.721928 -> 0 | index -> 0 | features chosen -> 0 | 0 1 0 0 
Group -> 8 	| 0.419973 -> 1 | index -> 1 | features chosen -> 0 | 1 1 0 0 
Group -> 8 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 8 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 8 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 8 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 8 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 8 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 8 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 9 	| 0.721928 -> 0 | index -> 0 | features chosen -> 0 | 0 1 0 0 
Group -> 9 	| 0.170951 -> 1 | index -> 1 | features chosen -> 0 | 1 1 1 1 
Group -> 9 	| 0.170951 -> 1 | index -> 2 | features chosen -> 0 | 1 1 1 1 
Group -> 9 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 9 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 9 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 9 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 9 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 9 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 9 	| 0.721928 -> 0 | index -> 0 | features chosen -> 0 | 0 1 0 0 
Group -> 9 	| 0.170951 -> 1 | index -> 1 | features chosen -> 0 | 1 1 1 1 
Group -> 9 	| 0.170951 -> 1 | index -> 2 | features chosen -> 0 | 1 1 1 1 
Group -> 9 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 9 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 9 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 9 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 9 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 9 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 10 	| 0.721928 -> 0 | index -> 0 | features chosen -> 0 | 0 1 0 0 
Group -> 10 	| 0.170951 -> 1 | index -> 1 | features chosen -> 0 | 1 1 1 1 
Group -> 10 	| 0.170951 -> 1 | index -> 2 | features chosen -> 0 | 1 1 1 1 
Group -> 10 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 10 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 10 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 10 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 10 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 10 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 10 	| 0.721928 -> 0 | index -> 0 | features chosen -> 0 | 0 1 0 0 
Group -> 10 	| 0.170951 -> 1 | index -> 1 | features chosen -> 0 | 1 1 1 1 
Group -> 10 	| 0.170951 -> 1 | index -> 2 | features chosen -> 0 | 1 1 1 1 
Group -> 10 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 0 1 0 0 
Group -> 10 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 10 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 10 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 10 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 10 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 11 	| 0.721928 -> 1 | index -> 0 | features chosen -> 0 | 1 1 0 0 
Group -> 11 	| 0.321928 -> 1 | index -> 1 | features chosen -> 1 | 1 1 1 1 
Group -> 11 	| 0.170951 -> 1 | index -> 2 | features chosen -> 0 | 1 1 1 1 
Group -> 11 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 11 	| 0.721928 -> 1 | index -> 1 | features chosen -> 1 | 1 1 1 1 
Group -> 11 	| 0.419973 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 11 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 11 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 11 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 11 	| 0.721928 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 11 	| 0.321928 -> 1 | index -> 1 | features chosen -> 1 | 1 1 1 1 
Group -> 11 	| 0.170951 -> 1 | index -> 2 | features chosen -> 1 | 1 1 1 1 
Group -> 11 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 11 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 11 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 11 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 11 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 11 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 12 	| 0.721928 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 12 	| 0.321928 -> 1 | index -> 1 | features chosen -> 1 | 1 1 1 1 
Group -> 12 	| 0.170951 -> 1 | index -> 2 | features chosen -> 1 | 1 1 1 1 
Group -> 12 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 12 	| 0.721928 -> 1 | index -> 1 | features chosen -> 1 | 1 1 1 1 
Group -> 12 	| 0.419973 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 12 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 12 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 12 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 12 	| 0.721928 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 12 	| 0.321928 -> 1 | index -> 1 | features chosen -> 1 | 1 1 1 1 
Group -> 12 	| 0.170951 -> 1 | index -> 2 | features chosen -> 1 | 1 1 1 1 
Group -> 12 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 12 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 12 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 12 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 12 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 12 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 13 	| 0.721928 -> 0 | index -> 0 | features chosen -> 0 | 0 0 0 0 
Group -> 13 	| 0.170951 -> 1 | index -> 1 | features chosen -> 0 | 1 1 1 1 
Group -> 13 	| 0.170951 -> 1 | index -> 2 | features chosen -> 0 | 1 1 1 1 
Group -> 13 	| 0.970951 -> 0 | index -> 0 | features chosen -> 0 | 0 0 0 0 
Group -> 13 	| 0.419973 -> 1 | index -> 1 | features chosen -> 0 | 1 1 1 1 
Group -> 13 	| 0.170951 -> 1 | index -> 2 | features chosen -> 0 | 1 1 1 1 
Group -> 13 	| 0.970951 -> 0 | index -> 0 | features chosen -> 0 | 0 0 0 0 
Group -> 13 	| 0.419973 -> 1 | index -> 1 | features chosen -> 0 | 1 1 1 1 
Group -> 13 	| 0.170951 -> 1 | index -> 2 | features chosen -> 0 | 1 1 1 1 
Group -> 13 	| 0.721928 -> 0 | index -> 0 | features chosen -> 0 | 0 0 0 0 
Group -> 13 	| 0.170951 -> 1 | index -> 1 | features chosen -> 0 | 1 1 1 1 
Group -> 13 	| 0.170951 -> 1 | index -> 2 | features chosen -> 0 | 1 1 1 1 
Group -> 13 	| 0.970951 -> 0 | index -> 0 | features chosen -> 0 | 0 0 0 0 
Group -> 13 	| 0.419973 -> 1 | index -> 1 | features chosen -> 0 | 1 1 1 1 
Group -> 13 	| 0.170951 -> 1 | index -> 2 | features chosen -> 0 | 1 1 1 1 
Group -> 13 	| 0.970951 -> 0 | index -> 0 | features chosen -> 0 | 0 0 0 0 
Group -> 13 	| 0.419973 -> 1 | index -> 1 | features chosen -> 0 | 1 1 1 1 
Group -> 13 	| 0.170951 -> 1 | index -> 2 | features chosen -> 0 | 1 1 1 1 
Group -> 14 	| 0.419973 -> 1 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 14 	| 0.321928 -> 0 | index -> 1 | features chosen -> 0 | 0 0 0 0 
Group -> 14 	| 0.321928 -> 0 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 14 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 14 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 0 0 0 0 
Group -> 14 	| 0.170951 -> 0 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 14 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 14 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 0 1 0 
Group -> 14 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 14 	| 0.419973 -> 1 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 14 	| 0.321928 -> 0 | index -> 1 | features chosen -> 0 | 0 0 0 0 
Group -> 14 	| 0.321928 -> 0 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 14 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 14 	| 0.721928 -> 0 | index -> 1 | features chosen -> 1 | 1 0 1 0 
Group -> 14 	| 0.419973 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 14 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 14 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 0 1 1 
Group -> 14 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 15 	| 0.721928 -> 0 | index -> 0 | features chosen -> 2 | 0 1 0 0 
Group -> 15 	| 0.170951 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 15 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 15 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 0 1 0 0 
Group -> 15 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 15 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 15 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 15 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 15 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 15 	| 0.721928 -> 0 | index -> 0 | features chosen -> 0 | 0 1 0 0 
Group -> 15 	| 0.170951 -> 1 | index -> 1 | features chosen -> 0 | 1 1 1 1 
Group -> 15 	| 0.170951 -> 1 | index -> 2 | features chosen -> 0 | 1 1 1 1 
Group -> 15 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 15 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 15 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 15 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 0 1 0 0 
Group -> 15 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 15 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 16 	| 0.721928 -> 0 | index -> 0 | features chosen -> 2 | 0 1 0 0 
Group -> 16 	| 0.321928 -> 0 | index -> 1 | features chosen -> 1 | 1 0 1 1 
